"inactiveAccount";"";"Your account is currently inactive. Please ask the administrator for roles!";"?";"?"
"lang_id";"";"Id";"?";"?"
"lang_isoName";"";"Iso name";"?";"?"
"pageNotFound";"";"Page not found";"?";"?"
"regAnchor";"";"Click me for registration";"?";"?"
"reg_email";"";"E-mail";"?";"?"
"reg_id";"";"Id";"?";"?"
"reg_password";"";"Password";"?";"?"
"reg_passwordAgain";"";"Password again";"?";"?"
"user_email";"";"E-mail";"?";"?"
"user_id";"";"Id";"?";"?"
"user_roles";"";"Roles";"?";"?"
"user_translates";"";"Translates";"?";"?"
"welcomeText";"";"<h2>Welcome to our Translator application!</h2><br>If you have an account, just log in with the panel on right.<br><br>If not, you should register: <b>click</b> the link below and <b>wait</b> for your account get activated.<br><br>";"?";"?"
